firm_id,ticker,company_name,year,industry_key,sector,gics_sub_industry,icb_subsector_name,icb_sector_name,icb_supersector_name,icb_industry_name,bloomberg_ind_group,SROA,SROE,BQS,BQS_OLD,HHI,HHI_GICS_SUB,HHI_ICB_SUBSECTOR,HHI_ICB_SECTOR,HHI_ICB_SUPERSECTOR,HHI_ICB_INDUSTRY,HHI_BLOOMBERG_IND_GROUP,SIZE,GROWTH,LIQUIDITY,CASH_RATIO,CAPEX_INTENSITY,MARKET_CAP_SIZE,ROA,ROE,MARG,FCF_MARGIN,OE,LEV,INTEREST_COVERAGE,CONS,Z_MARG,Z_FCF_MARGIN,Z_LEV,Z_INTEREST_COVERAGE,Z_CONS,Z_OE
A,A,AGILENT TECH INC,2019,Life Sciences Tools & Services,Non-Financial/Non-Utilities,Life Sciences Tools & Services,Medical Equipment,Medical Equipment and Services,Health Care,Health Care,Healthcare-Products,0.07716155681669676,0.14933333333333335,0.46143191777582826,0.594801845075526,0.21600694566529807,0.21600694566529807,0.10958550988756431,0.07589807644916786,0.06972786911774874,0.06972786911774874,0.22564546075325492,22.969492196271073,0.05067155067155067,1.533173076923077,0.14621244181125687,0.030021305442572147,33.4288719161811,0.11330935251798561,0.23,0.5432887607979857,0.16773193879527407,0.16773193879527407,0.7453449005501481,18.2027027027027,193.95566373959142,0.49171188673866856,0.3327312883418196,0.40298359714618065,-0.07204779142296275,1.1517806080754354,0.3327312883418196
A,A,AGILENT TECH INC,2020,Life Sciences Tools & Services,Non-Financial/Non-Utilities,Life Sciences Tools & Services,Medical Equipment,Medical Equipment and Services,Health Care,Health Care,Healthcare-Products,0.07499771389900146,0.1489,0.2405153289842587,0.31468377156511923,0.2332987444224959,0.2332987444224959,0.10143108878898792,0.07181866196556574,0.06621423555289607,0.06621423555289607,0.22389549587544888,22.98783748774224,0.03408870811543676,2.3278800272665303,0.14968318271527994,0.022288818130736094,33.76604831186954,0.07468577957826945,0.1495,0.5313728923019292,0.15021539614159954,0.15021539614159954,0.7364703438246598,12.064102564102564,87.52783285839489,0.45493247571925693,0.16130049591805254,0.4877895132789154,-0.056158441339183254,0.15471260134425185,0.16130049591805254
A,A,AGILENT TECH INC,2021,Life Sciences Tools & Services,Non-Financial/Non-Utilities,Life Sciences Tools & Services,Medical Equipment,Medical Equipment and Services,Health Care,Health Care,Healthcare-Products,0.10034214196140152,0.20509999999999998,0.3688023730664376,0.4778678267693552,0.2355224074476054,0.2355224074476054,0.10435999983344157,0.07266846887549817,0.06237635440418897,0.06237635440418897,0.1694006732564986,23.093976758988056,0.18355497284135605,2.2242388758782203,0.138626809901915,0.029751542965659124,34.148547809912486,0.11303129378794956,0.2357999999999999,0.539167589808514,0.20525399588542492,0.20525399588542492,0.7280709948622139,10.444444444444445,108.87135116787104,0.4451024219303063,0.40938001032121357,0.3799402575827539,-0.06745944174523272,0.6770486172431469,0.40938001032121357
A,A,AGILENT TECH INC,2022,Life Sciences Tools & Services,Non-Financial/Non-Utilities,Life Sciences Tools & Services,Medical Equipment,Medical Equipment and Services,Health Care,Health Care,Healthcare-Products,0.10226092596192615,0.20659999999999998,0.3335625926752049,0.4355571306057465,0.24697148385854623,0.24697148385854623,0.1040048359939036,0.07067682905335973,0.06484038241014435,0.06484038241014435,0.15088529614162507,23.077684078580475,0.08371577781294509,2.030091348737238,0.09998101025446259,0.042494158878504676,34.09011531995368,0.11906570451955943,0.2345,0.5435163364485981,0.1490946261682243,0.1490946261682243,0.7226547664261299,19.261904761904763,107.09754614531755,0.47900792468914777,0.2128543890016026,0.3370256264897561,-0.07441555904696175,0.7133405822424796,0.2128543890016026
A,A,AGILENT TECH INC,2023,Life Sciences Tools & Services,Non-Financial/Non-Utilities,Life Sciences Tools & Services,Medical Equipment,Medical Equipment and Services,Health Care,Health Care,Healthcare-Products,0.11576883746117005,0.23089999999999997,0.16795249471418608,0.23067828793615514,0.24227605640667663,0.24227605640667663,0.09980424703688585,0.06829143446313975,0.07182169485098928,0.07182169485098928,0.15285882006701382,23.099380163228574,-0.0021904205607476634,2.611353711790393,0.1477283285329369,0.04361188350651251,33.80733708009929,0.11520951407600112,0.2224,0.507097907214986,0.215717839894629,0.215717839894629,0.7306513053981232,14.210526315789474,32.6307169499588,0.3097236809661547,0.6012406337002307,0.36168196174227585,-0.08295067817369024,-0.3499331246640407,0.6012406337002307
A,A,AGILENT TECH INC,2024,Life Sciences Tools & Services,Non-Financial/Non-Utilities,Life Sciences Tools & Services,Medical Equipment,Medical Equipment and Services,Health Care,Health Care,Healthcare-Products,0.1143627715539144,0.22546666666666668,0.15357554208210336,0.2078253462250299,0.24273486652941798,0.24273486652941798,0.09750708465430956,0.06698782169642031,0.07338728261011974,0.07338728261011974,0.14661596224604884,23.195256094801184,-0.047270598565783695,2.0891820580474936,0.11218976869829478,0.05806451612903226,33.99975410264412,0.10881309606618268,0.2195,0.5430107428571429,0.2109062980030722,0.2109062980030722,0.6982947830491305,15.5,31.156110938380767,0.45070885595822857,0.5422925713395256,0.1962668861222442,-0.06342367448960286,-0.3579669285198786,0.5422925713395256
A,A,AGILENT TECH INC,2025,Life Sciences Tools & Services,Non-Financial/Non-Utilities,Life Sciences Tools & Services,Medical Equipment,Medical Equipment and Services,Health Care,Health Care,Healthcare-Products,0.10880112682432552,0.2160333333333333,0.07199727142673056,0.11538123304233897,0.24174678218183962,0.24174678218183962,0.09495400808853295,0.06566875890968894,0.0749177620257389,0.0749177620257389,0.14197598044450985,23.26699155795632,0.06728110599078341,1.9573924158500213,0.14056729787066866,0.05857800805987334,34.167264249463784,0.1023807703307928,0.2062,0.5243235555555555,0.16580310880829016,0.16580310880829016,0.7216154631884969,13.205357142857142,35.78563997184094,0.33456147037879114,0.20528333683034544,0.3165170481827872,-0.10153857503570309,-0.394836923222568,0.20528333683034544
AAPL,AAPL,APPLE INC,2019,"Technology Hardware, Storage & Peripherals",Non-Financial/Non-Utilities,"Technology Hardware, Storage & Peripherals",Computer Hardware,Technology Hardware and Equipment,Technology,Technology,Computers,0.15161060534264612,0.47383333333333333,0.1869776846709204,0.2498318756117156,0.35695277296948946,0.35695277296948946,0.3648932295506427,0.1521350467146799,0.0731955426067698,0.0731955426067698,0.23944878911973655,26.547837195537657,-0.020410775805267418,1.540125617208044,0.1442886008342294,0.04033838892433525,,0.1632300938921646,0.5592,0.3781776589513172,0.22637158209505945,0.22637158209505945,0.6808215859811648,30.4667225950783,135.3047209198152,-0.29956532769116573,0.7009940776649243,0.07747718887201609,-0.06443907909226042,0.5204215636010877,0.7009940776649243
AAPL,AAPL,APPLE INC,2020,"Technology Hardware, Storage & Peripherals",Non-Financial/Non-Utilities,"Technology Hardware, Storage & Peripherals",Computer Hardware,Technology Hardware and Equipment,Technology,Technology,Computers,0.16775370699164416,0.5965666666666666,0.28483856602955687,0.36800957941679074,0.3730545151752365,0.3730545151752365,0.3779121708377271,0.1561038062736873,0.07474061308169547,0.07474061308169547,0.26222904886293774,26.50366361396563,0.055120803769784836,1.3636044481554577,0.11737390702959048,0.026625138881299748,,0.1772557126908067,0.7369,0.38233248077518533,0.2672531555652697,0.2672531555652697,0.6224682606333054,22.252001392272884,168.39951830734756,-0.2517340444996564,0.7911066176407079,-0.10476884781928601,-0.047845487519378505,1.0374345923453976,0.7911066176407079
AAPL,AAPL,APPLE INC,2021,"Technology Hardware, Storage & Peripherals",Non-Financial/Non-Utilities,"Technology Hardware, Storage & Peripherals",Computer Hardware,Technology Hardware and Equipment,Technology,Technology,Computers,0.20340928498625468,0.9235000000000001,-0.043341077349594415,-0.039852847009022335,0.4347447979710876,0.4347447979710876,0.43676634417387766,0.17370235456735247,0.08255837101362924,0.08255837101362924,0.29047424593962995,26.58405775840174,0.33259384733074693,1.0745531195957954,0.09954359234420317,0.030302036264033657,,0.26974204837579274,1.4744,0.4177935789315423,0.2540969938521173,0.2540969938521173,0.6110506492840497,25.061625708884687,22.094248419276155,-0.13339624832031413,0.6866436040493572,-0.23351764737931968,-0.05729399871188272,-0.4791410963858127,0.6866436040493572
AAPL,AAPL,APPLE INC,2022,"Technology Hardware, Storage & Peripherals",Non-Financial/Non-Utilities,"Technology Hardware, Storage & Peripherals",Computer Hardware,Technology Hardware and Equipment,Technology,Technology,Computers,0.243307387035429,1.3219666666666667,0.07568132068486284,0.10965825218505387,0.4325033593371093,0.4325033593371093,0.4306640460920628,0.16527696551674173,0.08066339051940918,0.08066339051940918,0.28279928398208104,26.589039601923314,0.07793787604184606,0.8793560286267226,0.067032359569673,0.02715505873283155,,0.2829244000396876,1.7546000000000002,0.4330963072366152,0.2826149804223895,0.2826149804223895,0.6244418930986095,40.74957352439441,19.333805487047393,-0.04586937285961685,1.099480481600824,-0.1440708814169981,-0.06022640531590126,-0.4709072185839934,1.099480481600824
AAPL,AAPL,APPLE INC,2023,"Technology Hardware, Storage & Peripherals",Non-Financial/Non-Utilities,"Technology Hardware, Storage & Peripherals",Computer Hardware,Technology Hardware and Equipment,Technology,Technology,Computers,0.27592159832027763,1.6495,0.12312228049547777,0.1658572206671728,0.4371393209203006,0.4371393209203006,0.4374944974799841,0.1709869479329554,0.08187541279913871,0.08187541279913871,0.28234815838700394,26.588551892475053,-0.028004605303199367,0.9880116717592975,0.08498708105609176,0.02859230076835775,,0.2750983465453524,1.7194999999999998,0.441311306625618,0.25981710737440805,0.25981710737440805,0.6485082945008693,29.062039155860667,44.19898581376978,-0.00616804693876671,0.9158179162725221,-0.04314785518827983,-0.04781748019130222,-0.20307313147678435,0.9158179162725221
